id	paper_id	author_id
1126	70900	57836
1127	70924	111267
1128	70924	65473
1129	70924	41581
1130	70924	111268
1131	70924	111269
1132	70996	111407
1133	70996	111408
1134	71002	17529
1135	71010	111433
1136	71010	111434
1137	71010	111435
1138	71010	111436
1139	71047	38621
1140	71053	111544
1141	71053	11687
1142	71053	111545
1143	71053	111546
1144	71053	111547
1145	71053	111548
1146	71053	111549
1147	71053	111550
1148	71053	111551
1149	71103	46855
1150	71103	46856
1151	71252	58278
1152	71252	111973
1153	71252	63329
1154	71323	112119
1155	71323	112120
1156	71409	112290
1157	71409	85735
1158	71409	112291
1159	71436	105248
1160	71436	9663
1161	71453	112373
1162	71546	112549
1163	71655	112757
1164	71655	26319
1165	71655	112758
1166	71655	90978
1167	71664	112775
1168	71664	37883
1169	71664	112776
1170	71664	112777
1171	71683	112818
1172	71683	112819
1173	71683	112820
1174	71749	112961
1175	71749	31033
1176	71780	3812
1177	71780	61981
1178	71974	113457
1179	71974	110791
1180	71974	113458
1181	71977	113465
1182	71977	107055
1183	71977	113466
1184	71977	113467
1185	71979	946
1186	71979	8068
1187	72008	113522
1188	72008	15436
1189	72008	60118
1190	72051	109335
1191	72051	113617
1192	72088	113697
1193	72088	113698
1194	72088	113699
1195	72173	113888
1196	72178	113897
1197	72178	112455
1198	72178	9353
1199	72221	113973
1200	72221	113974
1201	72221	113975
1202	72389	114310
1203	72389	114311
1204	72456	114444
1205	72456	114445
1206	72456	114446
1207	72517	114576
1208	72517	57376
1209	72547	114674
1210	72710	114993
1211	72710	114994
1212	72752	115117
1213	72752	115118
1214	72752	115119
1215	72752	115120
1216	72752	115121
1217	72752	115122
1218	72752	65116
1219	72752	115123
1220	72842	115306
1221	72842	39018
1222	72842	21168
1223	72859	115335
1224	72859	115336
1225	72893	115394
1226	72893	115395
1227	72974	115550
1228	72974	40982
1229	73040	115683
1230	73040	115684
1231	73040	115685
1232	73040	115686
1233	73040	115687
1234	73040	115688
1235	73040	115689
1236	73040	115690
1237	73040	115691
1238	73040	56847
1239	73043	115692
1240	73043	115693
1241	73125	115870
1242	73125	114405
1243	73125	49054
1244	73183	95740
1245	73183	115975
1246	73183	115976
1247	73233	116067
1248	73233	114432
1249	73233	41465
1250	73233	41072
1251	73349	116334
1252	73349	116335
1253	73390	116427
1254	73390	50551
1255	73390	50554
1256	73405	116462
1257	73405	23975
1258	73445	116547
1259	73445	76129
1260	73445	114853
1261	73445	61136
1262	73445	116548
1263	73645	116981
1264	73645	116982
1265	73658	117012
1266	73665	11101
1267	73665	117035
1268	73665	117036
1269	73697	117115
1270	73697	117116
1271	73697	117117
1272	73714	117160
1273	73714	117161
1274	73840	117451
1275	73840	117452
1276	73840	117453
1277	73840	117454
1278	74036	50072
1279	74036	117862
1280	74103	118013
1281	74367	118541
1282	74367	118542
1283	74367	54741
1284	74367	34401
1285	74367	118543
1286	74529	70071
1287	74529	16578
1288	74603	119033
1289	74603	119034
1290	74604	119035
1291	74683	119195
1292	74683	119196
1293	74683	27003
1294	74826	119515
1295	74826	119516
1296	74826	119517
1297	74826	119518
1298	74826	119519
1299	74826	119520
1300	74871	40583
1301	74871	119620
1302	74871	119621
1303	74880	119632
1304	74880	119633
1305	74880	119634
1306	74880	119635
1307	75005	119883
1308	75005	119884
1309	75041	119953
1310	75041	7914
1311	75041	119954
1312	75041	35189
1313	75041	119955
1314	75041	119956
1315	75105	16617
1316	75105	120076
1317	75105	99804
1318	75111	120084
1319	75111	38925
1320	75161	120200
1321	75161	120201
1322	75161	120202
1323	75161	120203
1324	75161	120204
1325	75161	120205
1326	75185	120249
1327	75185	120250
1328	75367	120654
1329	75367	120655
1330	75413	56815
1331	75413	56816
1332	75413	20161
1333	75413	56756
1334	75452	120813
1335	75452	120814
1336	75452	120815
1337	75452	120816
1338	75452	42541
1339	75526	70778
1340	75526	120964
1341	75590	121094
1342	75590	121095
1343	75590	121096
1344	75739	121400
1345	75739	25019
