id	paper_id	tag_id
215	19804	519907
216	19804	3202514
217	19816	2280178
218	19998	3410947
219	19998	3587050
220	19998	3030712
221	20347	1891617
222	20347	1854340
223	20347	2519297
224	20347	2247279
225	20474	3340658
226	20474	1329660
227	20502	3426078
228	20502	2106710
229	20502	1109761
230	20856	1889550
231	20856	2069269
232	21006	2883834
233	21006	591598
234	21273	635346
235	21273	3287135
236	21362	99002
237	21362	1550625
238	21362	1060756
239	21362	1422133
240	21362	264220
241	21431	1005560
242	21431	3613646
243	21431	246854
244	21431	3157053
245	21431	290888
246	21741	1691240
247	21741	380750
248	21751	3418795
249	21751	871517
250	21751	3605022
251	21751	3154689
252	21751	2012601
253	21820	679305
254	21820	1735679
255	21820	3073937
256	21826	3165591
257	21826	3286365
258	21826	2834676
259	21826	2162062
260	21931	2665210
261	21931	2655600
262	21931	1996360
263	21931	1231064
264	21941	3541833
265	21941	961493
266	21941	2455358
267	21941	2913943
268	21941	1737423
269	21943	3095678
270	21943	742615
271	21943	996215
272	21943	2523287
273	21943	2435980
274	21998	1159722
275	21998	615093
276	21998	1030288
277	21998	3478107
278	22047	2641675
279	22047	3455956
280	22065	3110098
281	22378	1714966
282	22378	34463
283	22378	2316753
284	22378	2990311
285	22391	402382
286	22391	1427509
287	22391	1428016
288	22391	3080406
289	22391	3080403
290	22457	3701442
291	22457	1130880
292	22457	218639
293	22457	677054
294	22457	898
295	22557	830249
296	22557	1775813
297	22557	1704570
298	22557	2985084
299	22557	1356350
300	22738	1236740
301	22738	538897
302	22738	2102772
303	22738	108806
304	22738	3557454
305	23282	2716078
306	23282	1159794
307	23282	2594348
308	23282	278461
309	23282	3083777
310	23325	1248883
311	23325	506132
312	23325	2150708
313	23325	487757
314	23325	1053296
315	23364	406140
316	23364	821228
317	23570	143269
318	23728	495668
319	23728	495708
320	23728	2901728
321	23728	1047734
322	23764	1134820
323	23764	19799
324	23764	324103
325	23764	3697922
326	23764	2491711
327	23827	1177486
328	23827	1954684
329	23827	2626068
330	23827	356277
331	23827	901858
332	23882	926020
333	23882	253667
334	23882	2657517
335	23882	3137871
336	24090	1806272
337	24090	1668583
338	24090	970191
339	24090	182078
340	24090	2730367
341	24247	1373718
342	24247	278171
343	24247	277529
344	24247	277528
345	24247	277234
346	24325	497259
347	24469	722066
348	24469	3114902
349	24469	3173271
350	24517	483224
351	24517	3535600
352	24517	3713601
353	24517	2019299
354	24517	3033790
355	24529	883417
356	25083	1612325
357	25083	246682
358	25083	1612323
359	25238	3685986
360	25238	749540
361	25238	2474859
362	25238	661117
363	25238	468923
364	25320	2855026
365	25340	1249189
366	25340	1260741
367	25614	2032583
368	25614	87753
369	25699	1930995
370	25699	2429144
371	25699	2007058
372	26100	788551
373	26100	2713220
374	26251	149780
375	26370	3251770
376	26508	98446
377	26520	111903
378	26520	2007808
379	26520	951138
380	26909	2919834
381	26909	3566917
382	26954	2912695
383	26988	3137871
384	26988	2895772
385	26988	132280
386	26988	2896048
387	27020	760111
388	27020	3103946
389	27020	3455544
390	27020	2803551
391	27020	3441483
392	27049	1743002
393	27049	3273230
394	27077	749905
395	27077	3137737
396	27077	826497
397	27082	649559
398	27082	449296
399	27082	284506
400	27082	284398
401	27082	3319767
402	27264	2624721
403	27508	230449
404	27511	143447
405	27511	1555717
406	27511	479159
407	27529	3340199
408	27529	2645611
409	27529	849796
410	27529	1238925
